# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
tian fu 	天賦	c=0 d=0.1 t=6312
tian fu de 	天賦的	c=1 d=1 t=6313
tian jia 	添加	c=16 d=4.52187 t=4542
tiao 	條	c=5 d=1.9754 t=4159
tiao cao 	跳操	c=1 d=1 t=6321
tiao de 	調的	c=1 d=1 t=4753
tiao huo 	調貨	c=1 d=1 t=3631
tiao jian 	條件	c=1 d=1.17882 t=3071
tiao jian hou 	條件後	c=1 d=1 t=3072
tiao jian ne 	條件呢	c=1 d=1 t=3059
tiao jie 	調節	c=1 d=1 t=5880
tiao mu 	條目	c=2 d=1.20089 t=4628
tiao zheng 	調整	c=2 d=1.00001 t=5273
tiao zhuan 	跳轉	c=1 d=1 t=1996
tie ding 	鐵定	c=0 d=0.1 t=3645
tie ding shi 	鐵定是	c=1 d=1 t=3646
ting 	停	c=1 d=0.100121 t=6272
ting 	挺	c=0 d=0.1 t=2947
ting 	聽	c=2 d=1.00284 t=5642
ting de 	聽的	c=1 d=1 t=5931
ting duo de 	挺多的	c=1 d=1 t=2542
ting hao 	挺好	c=0 d=0.1 t=3200
ting hao de 	挺好的	c=2 d=1 t=4998
ting hao yong de 	挺好用的	c=1 d=1 t=3201
ting ka de 	挺卡的	c=1 d=1 t=2948
ting kuai 	挺快	c=0 d=0.1 t=6378
ting kuai de 	挺快的	c=0 d=0.1 t=6362
ting kuai de ba 	挺快的吧	c=1 d=1 t=6363
ting lao 	聽老	c=0 d=0.1 t=1872
ting lao ban 	聽老板	c=1 d=1 t=1873
ting lu bian 	停路邊	c=1 d=1 t=1648
ting na li 	停哪裏	c=1 d=1 t=6273
ting ni de 	聽你的	c=1 d=1 t=4986
ting qi lai 	聽起來	c=2 d=1 t=3119
ting shuo 	聽說	c=3 d=1.0954 t=5935
ting xia 	停下	c=0 d=0.1 t=120
ting zai 	停在	c=0 d=0.1 t=110
ting zai zhong jian 	停在中間	c=1 d=1 t=111
ting zhi 	停止	c=1 d=1 t=109
tong 	同	c=2 d=1.00005 t=5564
tong 	通	c=1 d=0.956415 t=3559
tong bu liao le 	通不了了	c=1 d=1 t=3560
tong de 	童得	c=0 d=0.1 t=360
tong guo 	通過	c=4 d=1.02841 t=3153
tong ji 	同級	c=1 d=1 t=2131
tong ji 	統計	c=2 d=1.90032 t=2347
tong kuan 	同款	c=1 d=1 t=3687
tong ming 	同名	c=1 d=1 t=2120
tong pei fu 	通配符	c=3 d=2.8329 t=5136
tong qin 	通勤	c=2 d=1.8825 t=6198
tong shi 	同時	c=7 d=1.47291 t=5036
tong yi 	同一	c=0 d=0.1 t=1930
tong yi 	統一	c=1 d=1 t=1107
tong yi ceng 	同一層	c=1 d=1 t=2272
tong yi ge 	同一個	c=8 d=1.95475 t=5835
tong yi hang 	同一行	c=1 d=1 t=1931
tong yi tiao 	同一條	c=1 d=1 t=5662
tong zhi 	通知	c=2 d=1.956 t=2098
tou 	頭	c=0 d=0.1 t=6165
tou ming 	透明	c=1 d=1 t=1460
tou xian 	頭銜	c=1 d=1 t=2047
tou xiang 	投降	c=0 d=0.1 t=3390
tou xiang de 	投降的	c=1 d=1 t=3391
tu 	圖	c=2 d=1.0013 t=5472
tu biao 	圖標	c=8 d=4.10011 t=5591
tu biao le ba 	圖標了吧	c=1 d=1 t=5362
tu pian 	圖片	c=2 d=1 t=5610
tu ran 	突然	c=3 d=1.0014 t=5349
tui 	推	c=0 d=0.1 t=5820
tui chi 	推遲	c=1 d=1 t=5772
tui chu lai 	退出來	c=0 d=0.1 t=4073
tui chu lai le 	退出來了	c=1 d=1 t=4074
tui guang 	推廣	c=1 d=1 t=2515
tui hui 	退回	c=0 d=0.1 t=55
tui hui dao 	退回到	c=1 d=1 t=56
tui shi jian 	推時間	c=1 d=1 t=5821
tuo 	拖	c=0 d=0.1 t=5624
wai bu 	外部	c=1 d=1.00053 t=1310
wai ceng 	外層	c=0 d=0.100001 t=4202
wai kuang 	外框	c=2 d=1.96079 t=2947
wai la 	外拉	c=1 d=1 t=6160
wai mian 	外面	c=1 d=0.100001 t=5283
wai xing ren 	外星人	c=1 d=1 t=6052
wan 	完	c=1 d=1 t=3360
wan 	晚	c=2 d=2.09352 t=6106
wan 	玩	c=1 d=0.100002 t=6236
wan bu wan de 	晚不晚的	c=1 d=1 t=6104
wan cheng 	完成	c=0 d=0.1 t=3230
wan cheng ren wu 	完成任務	c=1 d=1 t=1899
wan dan le 	完蛋了	c=0 d=0.1 t=4179
wan le 	完了	c=1 d=0.100002 t=4248
wan le 	玩了	c=1 d=1 t=3823
wan quan 	完全	c=6 d=1.01142 t=5976
wan quan bu zhi dao 	完全不知道	c=1 d=1 t=3819
wan quan xiang tong 	完全相同	c=1 d=1 t=3894
wan shang 	晚上	c=3 d=1.99501 t=6085
wan zheng 	完整	c=1 d=1 t=5513
wan zheng de 	完整的	c=1 d=1 t=4295
wang 	往	c=1 d=1 t=5616
wang 	忘	c=1 d=1 t=5614
wang 	網	c=2 d=1.0739 t=5976
wang hou 	往後	c=0 d=0.1 t=5624
wang hou tuo 	往後拖	c=1 d=1 t=5625
wang hui 	往回	c=0 d=0.1 t=115
wang hui bian 	往回變	c=1 d=1 t=116
wang ji 	忘記	c=2 d=1.02816 t=4787
wang ji le 	忘記了	c=2 d=1.00004 t=5435
wang le 	忘了	c=1 d=1 t=5639
wang shang 	往上	c=2 d=1.07172 t=4682
wang shang 	網上	c=1 d=1 t=4683
wang shang liao tian 	網上聊天	c=1 d=1 t=3968
wang wai 	往外	c=1 d=1 t=6168
wang xia 	往下	c=2 d=1.99501 t=5864
wang ye 	網頁	c=5 d=1.00063 t=6000
wang zuo 	往左	c=1 d=1 t=5597
wei 	爲	c=20 d=3.00398 t=5607
wei 	衛	c=0 d=0.1 t=3581
wei ci 	爲此	c=1 d=1 t=2707
wei le 	爲了	c=1 d=1 t=3695
wei ruan 	微軟	c=3 d=1 t=5973
wei shen me 	爲什麼	c=11 d=1.04328 t=5736
wei xin 	微信	c=1 d=1 t=3224
wei xuan ze 	爲選擇	c=1 d=1 t=2729
wei yi 	唯一	c=1 d=1 t=4606
wei yi 	衛衣	c=3 d=2.91859 t=3615
wei yi a 	衛衣啊	c=1 d=1 t=3602
wei zhi 	位置	c=2 d=1.00108 t=2860
wei zhi 	爲止	c=1 d=1 t=4325
wen 	問	c=0 d=0.100015 t=6016
wen dang 	文檔	c=1 d=1 t=5965
wen de 	問的	c=1 d=1 t=4737
wen de 	文德	c=1 d=1 t=4736
wen ding 	穩定	c=3 d=1.00915 t=6157
wen guo 	問過	c=0 d=0.1 t=2166
wen jian 	文件	c=10 d=4.39399 t=5870
wen jian jia 	文件夾	c=3 d=1 t=4020
wen jiu shi 	問就是	c=1 d=1 t=4254
wen le 	問了	c=1 d=1 t=1951
wen ni 	問你	c=1 d=1 t=5433
wen qi 	問起	c=1 d=1 t=6009
wen ti 	問題	c=20 d=1.42358 t=6150
wen ti bu 	問題不	c=1 d=1 t=4055
wen ti de 	問題的	c=1 d=1 t=848
wen ti ma 	問題嗎	c=1 d=1 t=2191
wen ti shi 	問題是	c=3 d=1.07809 t=5998
wen wen 	問問	c=1 d=0.1 t=6209
wen wen qing chu 	問問清楚	c=1 d=1 t=6210
wen yi xia 	問一下	c=1 d=1.00002 t=5114
wen zhang 	文章	c=2 d=1.96561 t=2065
wen zi 	文字	c=6 d=1.00163 t=5660
wo 	我	c=25 d=2.10006 t=6162
wo ba 	我把	c=1 d=1 t=185
wo bang mang 	我幫忙	c=1 d=1 t=6374
wo ben di 	我本地	c=1 d=1 t=558
wo bi xu 	我必須	c=1 d=0.100584 t=3560
wo bi xu dei 	我必須得	c=1 d=1 t=3561
wo biao mei 	我表妹	c=1 d=1 t=6064
wo bing bu zhi dao 	我並不知道	c=1 d=1 t=3874
wo bu 	我不	c=0 d=0.1 t=5321
wo bu fu ze 	我不負責	c=1 d=1 t=1718
wo bu que ding 	我不確定	c=1 d=1 t=2596
wo bu tai 	我不太	c=1 d=1 t=6173
wo bu tai dong 	我不太懂	c=1 d=1 t=5322
wo bu tai qing chu 	我不太清楚	c=1 d=1 t=5370
wo bu xi wang 	我不希望	c=1 d=1 t=2216
wo bu xu yao 	我不需要	c=1 d=1 t=441
wo bu zhi dao 	我不知道	c=3 d=1 t=5107
wo cai kai shi 	我纔開始	c=1 d=1 t=1116
wo can kao 	我參考	c=1 d=1 t=1582
wo cha le yi xia 	我查了以下	c=1 d=1 t=1869
wo chang shi 	我嘗試	c=1 d=1 t=494
wo chuan cuo le 	我傳错了	c=1 d=1 t=1366
wo cong 	我從	c=0 d=0.1 t=2280
wo cong hou duan 	我從後端	c=1 d=1 t=2281
wo da kai 	我打開	c=1 d=1 t=272
wo da yin le 	我打印了	c=1 d=1 t=761
wo dang shi 	我當時	c=3 d=1 t=4706
wo de 	我的	c=9 d=1.1056 t=6011
wo de jian yi 	我的建議	c=1 d=1 t=5061
wo de li jie 	我的理解	c=1 d=1 t=2262
wo de xiang mu 	我的項目	c=1 d=1 t=5544
wo dei 	我得	c=1 d=1 t=5772
wo dou 	我都	c=1 d=1 t=3079
wo dou mei 	我都沒	c=0 d=0.1 t=5838
wo dou mei xuan 	我都沒宣	c=1 d=1 t=5839
wo dou shi 	我都是	c=2 d=1 t=4149
wo dou yao 	我都要	c=1 d=1 t=3390
wo dui 	我對	c=1 d=1 t=2591
wo fa 	我發	c=0 d=0.10001 t=2589
wo fa de 	我發的	c=1 d=1 t=746
wo fa ni 	我發你	c=1 d=1 t=2590
wo fa xian 	我發現	c=2 d=1.00182 t=5250
wo fan er 	我反而	c=1 d=1 t=5372
wo gai 	我該	c=0 d=0.1 t=363
wo gai ru he 	我該如何	c=1 d=1 t=364
wo gai zen me she zhi 	我該怎麼設置	c=1 d=1 t=3871
wo gan jiao 	我感覺	c=6 d=1.11855 t=5901
wo gang 	我剛	c=0 d=0.1 t=5976
wo gang gang 	我剛剛	c=1 d=1 t=5434
wo gang jia jin qu 	我剛加進去	c=1 d=1 t=5932
wo gang kan le 	我剛看了	c=1 d=1 t=5977
wo gao dian 	我高點	c=1 d=1 t=6287
wo gen 	我跟	c=1 d=1 t=2630
wo gu ji 	我估計	c=3 d=1 t=6307
wo hai 	我還	c=0 d=0.1 t=4473
wo hai dei 	我還得	c=1 d=1 t=204
wo hai mei 	我還沒	c=1 d=1 t=5781
wo hai shi 	我還是	c=1 d=1 t=2418
wo hai yi wei 	我還以爲	c=1 d=1 t=4036
wo hai you 	我還有	c=0 d=0.1 t=602
wo hai you ge 	我還有個	c=1 d=1 t=603
wo hai zai 	我還在	c=1 d=1 t=1657
wo hai zai xiang 	我還在想	c=1 d=1 t=4474
wo hao xiang 	我好像	c=1 d=1 t=35
wo hou lai 	我後來	c=1 d=1 t=758
wo huai yi 	我懷疑	c=2 d=1 t=6165
wo huan zhang 	我換張	c=1 d=1 t=4128
wo hui 	我會	c=1 d=1.0381 t=501
wo hui jin ru 	我會進入	c=1 d=1 t=309
wo hui que ren 	我會確認	c=1 d=1 t=679
wo ji de 	我記得	c=3 d=1.08173 t=6287
wo jian yi 	我建議	c=0 d=0.1 t=119
wo jian yi shi 	我建議是	c=1 d=1 t=120
wo jin tian 	我今天	c=2 d=1.00504 t=6016
wo jiu 	我就	c=5 d=1.00645 t=6109
wo jiu ke yi 	我就可以	c=1 d=1 t=3218
wo jiu mei guan le 	我就沒管了	c=1 d=1 t=170
wo jiu shi 	我就是	c=2 d=1.00001 t=6076
wo jiu zhi dao 	我就知道	c=1 d=1 t=3385
wo jue de 	我覺得	c=8 d=1.01819 t=5759
wo kai fa 	我開發	c=1 d=1 t=447
wo kai wan hui 	我開完會	c=1 d=1 t=3624
wo kan 	我看	c=3 d=1.00018 t=5269
wo kan bu chu lai 	我看不出來	c=1 d=1 t=359
wo kan bu dong 	我看不懂	c=1 d=1 t=4816
wo kan dao 	我看到	c=2 d=1 t=6010
wo kan kan 	我看看	c=1 d=1 t=4683
wo kan le 	我看了	c=1 d=1 t=5994
wo kan wan 	我看完	c=1 d=1 t=2201
wo kao 	我靠	c=4 d=1 t=5851
wo ke bu ke yi 	我可不可以	c=1 d=1 t=2340
wo ke yi 	我可以	c=1 d=1 t=314
wo ken ding 	我肯定	c=0 d=0.1 t=186
wo ken ding bu zhi dao 	我肯定不知道	c=1 d=1 t=187
wo lai 	我來	c=0 d=0.1 t=5703
wo lai de 	我來的	c=1 d=1 t=3911
wo lai gai 	我來改	c=1 d=1 t=5704
wo le 	我了	c=0 d=0.1 t=3997
wo li jie 	我理解	c=3 d=0.579505 t=3716
wo lou diao 	我漏掉	c=1 d=1 t=776
wo mei 	我沒	c=4 d=1.09116 t=6071
wo mei fa 	我沒法	c=1 d=1 t=5708
wo mei nong guo 	我沒弄過	c=1 d=1 t=5171
wo mei sha 	我沒啥	c=1 d=1 t=6072
wo mei yan jiu guo 	我沒研究過	c=1 d=1 t=4887
wo mei you 	我沒有	c=3 d=1.00001 t=4416
wo mei yu dao guo 	我沒遇到過	c=1 d=1 t=2033
wo men 	我們	c=22 d=1.49465 t=6275
wo men de 	我們的	c=1 d=1 t=3933
wo men hui xiu gai 	我們會修改	c=1 d=1 t=360
wo men jiu 	我們就	c=1 d=1 t=4595
wo men shi bu shi 	我們是不是	c=1 d=1 t=5209
wo men xu yao 	我們需要	c=3 d=1 t=5732
wo men yi qi 	我們一起	c=0 d=0.1 t=3821
wo men yong de 	我們用的	c=1 d=1 t=1291
wo men zhe bian 	我們這邊	c=1 d=1 t=3408
wo men zhi hui 	我們只會	c=1 d=1 t=696
wo na 	我拿	c=0 d=0.1 t=3592
wo na ge 	我那個	c=2 d=1 t=4248
wo na lai 	我哪來	c=1 d=1 t=4147
wo na le 	我拿了	c=2 d=1.8781 t=3619
wo neng 	我能	c=1 d=1 t=6356
wo neng bu neng 	我能不能	c=1 d=1 t=5623
wo neng cha 	我能查	c=1 d=1 t=3347
wo qu kan kan 	我去看看	c=1 d=1 t=5832
wo qu nian 	我去年	c=1 d=1 t=3851
wo shang wu 	我上午	c=1 d=1 t=4025
wo shen qing le 	我申請了	c=1 d=1 t=2543
wo shen zhi 	我甚至	c=1 d=1 t=5761
wo shi 	我是	c=3 d=1.17462 t=5896
wo shi bu shi 	我是不是	c=1 d=1 t=3718
wo shi guo 	我試過	c=0 d=0.1 t=4910
wo shi guo le 	我試過了	c=1 d=1 t=4911
wo shi na ge 	我是哪個	c=1 d=1 t=5521
wo shi shi 	我試試	c=1 d=1 t=5405
wo shi shi ba 	我試試吧	c=1 d=1 t=3298
wo shi shuo 	我是說	c=3 d=1.00009 t=5296
wo shou dong 	我手動	c=1 d=1 t=5930
wo shou shang 	我手上	c=1 d=1 t=1049
wo shuo 	我說	c=0 d=0.1 t=2493
wo shuo de 	我說的	c=1 d=1 t=2494
wo sou 	我搜	c=0 d=0.1 t=3754
wo sou le yi xia 	我搜了一下	c=1 d=1 t=3755
wo ti le 	我提了	c=1 d=1 t=90
wo wan cheng 	我完成	c=1 d=1 t=3231
wo wang ye ban 	我網頁版	c=1 d=1 t=2947
wo xi wang 	我希望	c=4 d=1.96786 t=5942
wo xian 	我先	c=3 d=1.00036 t=5293
wo xian gei ni 	我先給你	c=1 d=1 t=2410
wo xian zai 	我現在	c=4 d=1.06457 t=5185
wo xiang 	我想	c=3 d=1.15738 t=5631
wo xiang 	我相	c=1 d=1 t=2568
wo xiang dao 	我想到	c=2 d=1.00638 t=5689
wo xiang que ren 	我想確認	c=1 d=1 t=3457
wo xiang wen yi xia 	我想問一下	c=1 d=1 t=3411
wo xiang yao 	我想要	c=0 d=0.1 t=2217
wo xiang yao de shi 	我想要的是	c=1 d=1 t=2218
wo xiang zai 	我想在	c=1 d=1 t=3459
wo xin jia de 	我新加的	c=1 d=1 t=3721
wo xu yao 	我需要	c=8 d=1.00005 t=5888
wo xuan 	我選	c=1 d=1 t=5935
wo xuan wan 	我選完	c=1 d=1 t=5929
wo xue li 	我學歷	c=1 d=1 t=2046
wo ya gen 	我牙根	c=1 d=1 t=3734
wo yao 	我要	c=0 d=0.1 t=4235
wo yao gan 	我要趕	c=1 d=1 t=4236
wo yao jia 	我要加	c=1 d=1 t=3715
wo ye 	我也	c=3 d=1.31038 t=5466
wo ye bu 	我也不	c=0 d=0.1 t=1143
wo ye bu qing chu 	我也不清楚	c=1 d=1 t=1144
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=4003
wo ye cha bu duo 	我也差不多	c=1 d=1 t=3276
wo ye hai shi 	我也還是	c=1 d=1 t=3404
wo ye hen 	我也很	c=0 d=0.1 t=1941
wo ye hen jiu 	我也很就	c=1 d=1 t=1942
wo ye jia le yi ci 	我也加了一次	c=1 d=1 t=161
wo ye jue de 	我也覺得	c=1 d=1 t=536
wo ye qu 	我也去	c=1 d=1 t=3280
wo ye shi 	我也是	c=1 d=1 t=5165
wo ye xiang 	我也想	c=1 d=1 t=6105
wo ye yao 	我也要	c=1 d=1 t=3277
wo ye you 	我也有	c=0 d=0.1 t=6027
wo ye you guo 	我也有過	c=1 d=1 t=6028
wo yi ci xing 	我一次性	c=1 d=1 t=2294
wo yi jing 	我已經	c=1 d=1 t=4338
wo yi jing zai 	我已經在	c=1 d=1 t=1949
wo yi si 	我意思	c=1 d=1 t=4373
wo yi wei 	我以爲	c=1 d=1 t=6383
wo ying gai 	我應該	c=3 d=1.00064 t=4870
wo you 	我有	c=0 d=0.1 t=734
wo you dian 	我有點	c=1 d=1 t=3387
wo you ya 	我有呀	c=1 d=1 t=735
wo you yi xie 	我有一些	c=1 d=1 t=492
wo zai 	我在	c=6 d=1.00055 t=5565
wo zai jia li le 	我在家裏了	c=1 d=1 t=853
wo zai kan 	我在看	c=1 d=1 t=3675
wo zai shui wu jiao 	我在睡午覺	c=1 d=1 t=4522
wo zai xiang 	我在想	c=2 d=1.96079 t=6108
wo zai yan jiu yan jiu 	我在研究研究	c=1 d=1 t=775
wo zao jiu 	我早就	c=1 d=1 t=4929
wo zen me 	我怎麼	c=2 d=0.104012 t=3880
wo zen me cao zuo 	我怎麼操作	c=1 d=1 t=3881
wo zhan kai 	我展開	c=1 d=1 t=2757
wo zhao dao 	我找到	c=1 d=1 t=505
wo zhe 	我這	c=1 d=1 t=5297
wo zhe 	握着	c=0 d=0.1 t=1049
wo zhe bian 	我這邊	c=7 d=1.0074 t=4967
wo zhe ge 	我這個	c=5 d=1.00017 t=5457
wo zhe ji tian 	我這幾天	c=1 d=1 t=3232
wo zhe li 	我這裏	c=8 d=2.0039 t=5621
wo zhe shi ge 	我這是個	c=1 d=1 t=1851
wo zhi 	我只	c=1 d=1 t=5944
wo zhi dao 	我知道	c=1 d=1 t=5913
wo zhi jie 	我直接	c=2 d=1.22091 t=1610
wo zhi qian 	我之前	c=3 d=1.00003 t=6188
wo zhi shi 	我只是	c=1 d=1.00065 t=6272
wo zhi shi shuo 	我只是說	c=1 d=1 t=5266
wo zhi yao 	我只要	c=2 d=1.06489 t=1577
wo zhi you 	我只有	c=2 d=1 t=5526
wo zhi zai 	我只在	c=1 d=1 t=582
wo zi ji de 	我自己的	c=1 d=1 t=186
wo zui jin 	我最近	c=1 d=1 t=4174
wo zuo tian 	我昨天	c=1 d=1 t=1794
wu cao zuo 	誤操作	c=1 d=1 t=5009
wu fa 	無法	c=3 d=2.96531 t=4876
wu fen zhong 	五分鐘	c=1 d=1 t=3786
wu guan 	無關	c=2 d=1.00005 t=6104
wu liao 	無聊	c=1 d=1 t=3405
wu lun 	無論	c=1 d=1 t=618
wu lun shi 	無論是	c=1 d=1 t=4032
wu nao 	無腦	c=1 d=1 t=3184
wu suo wei 	無所謂	c=2 d=1 t=3947
wu yue 	五月	c=2 d=1.00227 t=2970
xi guan 	習慣	c=0 d=0.1 t=3954
xi guan de 	習慣的	c=1 d=1 t=3955
xi huan de 	喜歡的	c=1 d=1 t=4668
xi jie 	細節	c=1 d=1 t=5942
xi li du 	細粒度	c=1 d=1 t=3140
xi ting 	細聽	c=0 d=0.1 t=5958
xi tong 	系統	c=0 d=0.1 t=3239
xi wang 	希望	c=0 d=0.100001 t=4487
xi wang zhe ci 	希望這次	c=1 d=1 t=4488
xi ya 	洗牙	c=3 d=0.100002 t=6125
xia 	下	c=6 d=1.06673 t=6378
xia ba 	下巴	c=3 d=2.87472 t=6147
xia ban 	下班	c=0 d=0.1 t=5640
xia ban le 	下班了	c=1 d=1 t=4173
xia ban qian 	下班前	c=1 d=1 t=5641
xia bu qu 	下不去	c=1 d=1 t=6298
xia che 	瞎扯	c=0 d=0.1 t=3538
xia ci 	下次	c=2 d=1.04285 t=5716
xia de 	下的	c=2 d=1.06081 t=5171
xia fang 	下方	c=6 d=4.23079 t=2928
xia ge yue 	下個月	c=1 d=1 t=1732
xia hua 	下滑	c=1 d=1 t=3771
xia jiang 	下降	c=1 d=1 t=902
xia la 	下拉	c=3 d=1.91261 t=2907
xia la dui hua kuang 	下拉對話框	c=1 d=1 t=2881
xia la kuang 	下拉框	c=1 d=1 t=2920
xia lai 	下來	c=2 d=1.61263 t=4381
xia mian 	下面	c=8 d=1.03562 t=6156
xia mian le 	下面了	c=1 d=1 t=2956
xia qu 	下去	c=1 d=1 t=3253
xia wu 	下午	c=6 d=1.30128 t=6095
xia xun 	下旬	c=1 d=1 t=2971
xia yi bu 	下一步	c=1 d=1 t=2036
xia zai 	下載	c=3 d=2.48865 t=4396
xia zhou 	下週	c=6 d=1.09046 t=6281
xia zhou yi 	下週一	c=2 d=1 t=5431
xian 	先	c=8 d=1.35086 t=5575
xian bu guan 	先不管	c=1 d=1 t=4724
xian fang yi fang 	先放一放	c=1 d=1 t=2672
xian gai 	先改	c=0 d=0.1 t=6391
xian gai ba 	先改吧	c=1 d=1 t=6392
xian gei 	先給	c=1 d=1 t=2648
xian guo 	先過	c=0 d=0.1 t=4949
xian guo le 	先過了	c=2 d=1.36788 t=5150
xian jie jue 	先解決	c=1 d=1 t=1952
xian jue tiao jian 	先決條件	c=1 d=1 t=3230
xian kuang 	線框	c=1 d=1 t=1465
xian liang le 	先涼了	c=1 d=1 t=1763
xian ran 	顯然	c=1 d=1 t=2638
xian shi 	現實	c=4 d=2.19906 t=5849
xian shi 	顯示	c=24 d=1.0921 t=6029
xian shi de 	顯示的	c=1 d=1 t=5550
xian shi qi 	顯示器	c=1 d=1 t=4954
xian shi zhong 	現實中	c=1 d=1 t=4679
xian xiang 	現象	c=1 d=1 t=1983
xian yan 	顯眼	c=1 d=1 t=3546
xian you 	現有	c=1 d=1 t=2200
xian you de 	現有的	c=1 d=1 t=5612
xian zai 	現在	c=48 d=2.98557 t=6066
xian zai dai de 	現在帶的	c=1 d=1 t=6052
xian zai de 	現在的	c=1 d=1 t=3353
xian zhao 	先找	c=1 d=1 t=3310
xian zhe yang 	先這樣	c=1 d=1 t=4374
xian zhi 	獻之	c=1 d=1 t=1197
xian zhi 	限制	c=2 d=1.00008 t=5273
xiang 	像	c=1 d=1 t=68
xiang 	向	c=1 d=1 t=3233
xiang 	想	c=2 d=1.00035 t=5312
xiang 	項	c=1 d=0.848264 t=2828
xiang ban fa 	想辦法	c=0 d=0.1 t=608
xiang bu dao 	想不到	c=1 d=1 t=3528
xiang chu lai 	想出來	c=0 d=0.1 t=2189
xiang chu lai de 	想出來的	c=1 d=1 t=2190
xiang dao 	想到	c=2 d=1.00631 t=5352
xiang deng 	相等	c=1 d=1 t=6023
xiang fan 	相反	c=1 d=1 t=4574
xiang guan 	相關	c=0 d=0.1 t=3099
xiang guan de 	相關的	c=1 d=1 t=3130
xiang guan zu jian 	相關組件	c=1 d=1 t=3100
xiang hu 	相互	c=1 d=1 t=439
xiang jin 	相近	c=1 d=1 t=5826
xiang lian 	相連	c=1 d=1 t=4007
xiang mu 	項目	c=2 d=1.1995 t=5543
xiang mu geng duo 	項目更多	c=1 d=1 t=5756
xiang qi lai le 	想起來了	c=1 d=1 t=5373
xiang rang 	想讓	c=0 d=0.1 t=4272
xiang si 	相似	c=1 d=1 t=5236
xiang tong 	相同	c=6 d=0.108294 t=3890
xiang tong de 	相同的	c=4 d=1.00029 t=4572
xiang tong se xi 	相同色系	c=1 d=1 t=3891
xiang xia 	向下	c=2 d=1 t=5639
xiang xiang 	想象	c=0 d=0.1 t=1037
xiang ying 	相應	c=4 d=1.00036 t=5658
xiang ying de 	相應的	c=1 d=1 t=3029
xiang ying luo ji 	相應邏輯	c=1 d=1 t=452
xiang zhe 	想着	c=1 d=1 t=1052
xiang zuo 	想做	c=1 d=1 t=6228
xiao 	小	c=3 d=1.06572 t=6269
xiao bu fen 	小部分	c=1 d=1 t=4453
xiao de 	小的	c=1 d=1 t=604
xiao guo 	效果	c=11 d=0.116658 t=6114
xiao he 	小鶴	c=1 d=1 t=6295
xiao ping mu 	小屏幕	c=1 d=1 t=5869
xiao shi 	小時	c=2 d=1.00002 t=6175
xiao si 	笑死	c=7 d=3.59339 t=6247
xiao xie 	小寫	c=1 d=0.1 t=6329
xiao yi dian 	小一點	c=1 d=1 t=5189
xiao yu 	小雨	c=1 d=1 t=3500
xiao zi 	小子	c=1 d=1 t=4809
xiao zi 	小字	c=1 d=1 t=4811
xie 	些	c=0 d=0.1 t=1935
xie 	寫	c=8 d=1.65696 t=5219
xie chu 	寫出	c=1 d=1 t=455
xie de 	寫的	c=4 d=1 t=5955
xie dian 	寫點	c=0 d=0.1 t=3337
xie dian shen me 	寫點什麼	c=1 d=1 t=3338
xie fa 	寫法	c=3 d=1.00003 t=5642
xie hao 	寫好	c=0 d=0.1 t=143
xie jin qu 	寫進去	c=1 d=1 t=764
xie jiu ke yi le 	寫就可以了	c=1 d=1 t=4435
xie le 	寫了	c=1 d=1 t=5918
xie qian duan 	寫前端	c=1 d=1 t=3068
xie wan 	寫完	c=1 d=1 t=3081
xie xie 	謝謝	c=4 d=2.06588 t=4057
xie yi ge 	寫一個	c=1 d=1 t=3191
xie yi pian 	寫一篇	c=2 d=1.96561 t=2059
xie zhe 	寫着	c=3 d=2.95566 t=4812
xin 	新	c=4 d=0.418233 t=5721
xin an zhuang de 	新安裝的	c=1 d=1 t=1538
xin bu shu 	新部署	c=1 d=1 t=5722
xin chuang jian 	新創建	c=1 d=1 t=2771
xin de 	新的	c=20 d=1.00753 t=6119
xin han shu 	新函數	c=1 d=1 t=3126
xin jia 	新加	c=0 d=0.1 t=3720
xin jia 	新家	c=1 d=0.10001 t=4861
xin jia de 	新家的	c=1 d=1 t=4862
xin jian 	新建	c=5 d=1.00013 t=5562
xin jian yi ge 	新建一個	c=1 d=1 t=6077
xin lao da 	新老大	c=1 d=1 t=3778
xin xi 	信息	c=9 d=1.03675 t=5755
xin xi 	新息	c=1 d=1 t=575
xin xue lai chao 	心血来潮	c=1 d=1 t=6226
xin ye mian 	新頁面	c=1 d=1 t=1674
xin yue 	新約	c=0 d=0.1 t=2082
xin yue de 	新約的	c=1 d=1 t=2083
xing 	形	c=1 d=1 t=6296
xing 	行	c=2 d=1 t=6334
xing ba 	行吧	c=1 d=1 t=3327
xing bu xing 	行不行	c=1 d=1 t=3935
xing le 	行了	c=1 d=1 t=4167
xing mu 	醒目	c=1 d=1 t=888
xing neng 	性能	c=1 d=1 t=3361
xing qi yi 	星期一	c=1 d=1 t=4371
xing rong ci 	形容詞	c=1 d=1 t=3515
xing shi 	形勢	c=1 d=1 t=362
xing shi 	形式	c=1 d=1 t=2483
xing tai 	形態	c=1 d=1 t=371
xing wei 	行為	c=3 d=1.21202 t=3602
xiong ge 	雄哥	c=1 d=1 t=6115
xiu 	修	c=1 d=0.1 t=4814
